IDN5,NM5,IDN4,NM4,IDN3,NM3,IDN2,NM2,NUTS3,NUTS3_CODE,LAU1,LAU1_CODE,LAU2,LAU2_CODE,x,y,x_long,y_lat
821136,Majerka,523534,Ihľany,703,Kežmarok,7,Prešovský,Prešovský kraj,SK041,Kežmarok,SK0413,Ihľany,SK0413523534,-311005.121731909,-1187124.40412835,20.5639539677765,49.1693621600311
821144,Stotince,523534,Ihľany,703,Kežmarok,7,Prešovský,Prešovský kraj,SK041,Kežmarok,SK0413,Ihľany,SK0413523534,-310524.248851365,-1185358.53233468,20.569191545768,49.1854570980712
821152,Ihráč,516848,Ihráč,613,Žiar nad Hronom,6,Banskobystrický,Banskobystrický kraj,SK032,Žiar nad Hronom,SK032D,Ihráč,SK032D516848,-430847.468834758,-1235835.30382804,18.9762011796461,48.6610466291934
821161,Ihrište,513610,Púchov,308,Púchov,3,Trenčiansky,Trenčiansky kraj,SK022,Púchov,SK0228,Púchov,SK0228513610,-475074.855415709,-1177474.12385446,18.3104779668275,49.1520461106888
821179,Iľanovo,510262,Liptovský Mikuláš,505,Liptovský Mikuláš,5,Žilinský,Žilinský kraj,SK031,Liptovský Mikuláš,SK0315,Liptovský Mikuláš,SK0315510262,-381282.983200753,-1199442.90390773,19.6138952117738,49.0196892301606
821187,Ilava,513156,Ilava,302,Ilava,3,Trenčiansky,Trenčiansky kraj,SK022,Ilava,SK0222,Ilava,SK0222513156,-480815.555924213,-1196231.51237623,18.2541530719708,48.9795690684979
821209,Iliašovce,543161,Iliašovce,810,Spišská Nová Ves,8,Košický,Košický kraj,SK042,Spišská Nová Ves,SK042A,Iliašovce,SK042A543161,-314836.176023868,-1206848.96299495,20.5266930177854,48.9903410340138
821225,Ilija,516856,Ilija,602,Banská Štiavnica,6,Banskobystrický,Banskobystrický kraj,SK032,Banská Štiavnica,SK0322,Ilija,SK0322516856,-438954.522239074,-1263183.30474373,18.8952415066258,48.4102085132211
821241,Imeľ,501166,Imeľ,401,Komárno,4,Nitriansky,Nitriansky kraj,SK023,Komárno,SK0231,Imeľ,SK0231501166,-500167.955811004,-1315468.16376977,18.1332428303269,47.896170239515
821250,Iňa,502359,Iňa,402,Levice,4,Nitriansky,Nitriansky kraj,SK023,Levice,SK0232,Iňa,SK0232502359,-475946.939601357,-1285816.02227011,18.4228480328202,48.1805075291587
821276,Iňačovce,522511,Iňačovce,807,Michalovce,8,Košický,Košický kraj,SK042,Michalovce,SK0427,Iňačovce,SK0427522511,-205022.337240685,-1245009.11138724,22.0453171390796,48.6932085603633
821284,Inovce,522520,Inovce,809,Sobrance,8,Košický,Košický kraj,SK042,Sobrance,SK0429,Inovce,SK0429522520,-181460.920475209,-1231335.94561929,22.3592243863757,48.8233717142824
